iters_flat,iters_warm,t_flat_ms,t_warm_ms
3,3,17.42189994547516,18.00909999292344
4,3,19.848100026138127,19.148899940773845
3,3,19.074999960139394,18.758199992589653
3,3,18.74229998793453,19.043799955397844
3,3,19.88579996395856,19.117600051686168
3,3,19.551699981093407,18.889500061050057
4,3,21.919599967077374,21.200800081714988
3,3,19.131200038827956,18.7038000440225
3,3,19.37049999833107,18.65639991592616
3,3,19.058900070376694,18.72139994520694
4,3,20.64470003824681,19.86689993645996
3,3,20.223200088366866,18.668600008822978
3,3,18.576900009065866,18.821800011210144
3,3,19.07409995328635,12.162500061094761
4,3,19.6384999435395,19.16750008240342
3,3,15.508299926295877,14.767399989068508
3,3,19.4162999978289,18.638900015503168
3,3,18.987199990078807,18.727199989371
4,3,20.390399964526296,19.75400000810623
4,3,19.749999977648258,19.03580001089722
3,3,19.36190004926175,19.994599977508187
3,3,19.088700064457953,19.1554999910295
4,3,16.425499925389886,19.144600024446845
3,3,19.036800018511713,18.943100003525615
3,3,19.275400089100003,18.855699920095503
4,3,20.942899980582297,19.48150002863258
3,3,9.7590999212116,12.828300008550286
4,3,20.7129999762401,18.850799999199808
3,3,18.35750008467585,19.091500085778534
3,3,18.916000030003488,18.962000031024218
3,3,19.169799983501434,18.873700057156384
4,3,21.099000005051494,20.666199969127774
4,3,20.219799946062267,16.84150006622076
3,3,19.758000038564205,18.82240001577884
3,3,18.89360009226948,16.69019996188581
3,3,19.395199953578413,19.094599992968142
4,3,19.584099994972348,19.333899952471256
3,3,18.82360002491623,19.117699936032295
3,3,18.949400051496923,16.93439995869994
4,3,19.86550004221499,15.120900003239512
4,3,21.92620001733303,20.26809996459633
3,3,19.12129996344447,18.956300104036927
4,3,19.81960004195571,19.101399928331375
3,3,13.54469999205321,19.11880006082356
3,3,19.12139996420592,17.83709996379912
4,3,19.888399983756244,18.690300057642162
4,3,20.527999964542687,18.632100080139935
3,3,18.90539994928986,18.73339992016554
4,3,13.239299994893372,19.255500053986907
4,3,13.220099965110421,19.392400048673153
3,3,18.670700024813414,19.070100039243698
4,3,21.80310001131147,19.473699969239533
4,3,20.05240006837994,19.335899967700243
3,3,19.07699997536838,19.249300006777048
3,3,176.66270001791418,9.14310000371188
3,3,19.418599898926914,19.215699983760715
3,3,19.166199956089258,15.097799943760037
4,3,20.264699938707054,19.008199917152524
3,3,19.006900023669004,19.19709995854646
3,3,20.384099916554987,18.86349997948855
3,3,19.203600008040667,18.824900034815073
3,3,18.757499987259507,18.663300084881485
3,3,18.831399967893958,18.648399971425533
3,3,19.939900026656687,18.964400049299
3,3,19.064899999648333,18.938900087960064
3,3,19.212399958632886,18.996300059370697
4,3,20.605799974873662,19.234500010497868
3,3,19.488099962472916,19.473099964670837
3,3,12.974599958397448,19.47239995934069
3,3,19.8179999133572,13.221400091424584
4,3,23.73080002143979,18.50649993866682
3,3,19.32910003233701,18.72900000307709
4,3,20.082800067029893,18.822399899363518
3,3,18.500200007110834,19.668799941428006
3,3,23.124299943447113,19.902900094166398
3,3,19.26100009586662,18.882600008510053
3,3,19.368900102563202,18.98669998627156
3,3,19.82209994457662,16.24549995176494
3,3,19.627699977718294,16.4114999352023
3,3,22.650600061751902,20.910899969749153
4,3,19.87429999280721,19.547500065527856
3,3,19.337300094775856,18.911499995738268
4,3,22.429200005717576,21.756699890829623
4,3,20.131699973717332,16.26050006598234
3,3,19.082100014202297,18.718699924647808
3,3,19.043299951590598,18.70370004326105
3,3,18.622100003995,18.945000017993152
3,3,19.01169994380325,18.64879997447133
3,3,18.979000044055283,18.607100006192923
4,3,20.932700019329786,18.983999965712428
3,3,19.61039996240288,19.141299999319017
3,3,19.008600036613643,19.342000014148653
4,3,20.351800019852817,18.33170000463724
3,3,20.193899981677532,18.978599924594164
3,3,19.812599988654256,17.96279998961836
4,3,19.766999990679324,18.824699916876853
3,3,19.711900036782026,18.910299986600876
4,3,21.202199975959957,19.835999934002757
3,3,19.92940006311983,18.66990001872182
3,3,18.846499966457486,19.613300100900233
3,3,18.770999973639846,18.771299975924194
3,3,22.319400100968778,19.379899953491986
3,3,19.13650007918477,19.215899985283613
4,3,19.556900020688772,18.83969991467893
4,3,19.954799907281995,19.045400083996356
4,3,19.992399960756302,19.49039997998625
3,3,18.965299939736724,13.2232999894768
3,3,18.85320001747459,18.91270000487566
3,3,18.61200004350394,16.604800010100007
4,3,19.947199965827167,18.65470001939684
3,3,19.215899985283613,11.227500042878091
4,3,20.175299956463277,15.015500015579164
4,3,20.05799999460578,20.113300066441298
3,3,19.3540999898687,18.856200040318072
3,3,18.714700010605156,8.862299961037934
4,3,21.120899938978255,19.038000027649105
3,3,19.1865999950096,9.702300070784986
3,3,18.916499917395413,19.0428999485448
3,3,19.52750002965331,18.811300047673285
3,3,19.80310003273189,18.57339998241514
3,3,18.371300073340535,14.309599995613098
3,3,21.860599983483553,21.747399936430156
3,3,19.179100054316223,18.86240008752793
3,3,14.19959997292608,19.26700002513826
3,3,18.95150006748736,19.070500042289495
4,3,19.899999955669045,17.240199958905578
3,3,19.149999949149787,18.97929992992431
3,3,18.917799927294254,17.608299967832863
3,3,174.7497000033036,9.921899996697903
3,3,20.624500000849366,20.956599968485534
4,3,20.144800073467195,19.003399997018278
3,3,19.369599991478026,20.096200052648783
3,3,19.32930003385991,19.090799964033067
3,3,19.105599960312247,19.344599917531013
3,3,18.929500016383827,19.959500059485435
4,3,19.832300022244453,18.220099969767034
3,3,22.392199956811965,19.02519993018359
3,3,18.766899942420423,19.690000102855265
4,3,19.86380002927035,20.221399958245456
3,3,18.910099985077977,19.285700051113963
3,3,17.019700026139617,16.422600019723177
3,3,15.08559996727854,19.996399991214275
3,3,18.766600056551397,19.995999988168478
3,3,18.991600023582578,18.865599995478988
3,3,19.149600062519312,18.61319993622601
3,3,18.947900040075183,18.776900018565357
3,3,18.910199985839427,18.06250005029142
3,3,20.014000008814037,15.806499985046685
3,3,18.742599990218878,19.34220001567155
4,3,20.326299942098558,18.855800037272274
3,3,19.17330001015216,19.442900083959103
3,3,19.279700005427003,19.43129999563098
3,3,18.65500002168119,18.538300064392388
4,3,21.18829998653382,19.093999988399446
3,3,19.069000030867755,18.649799982085824
3,3,19.87720001488924,19.45830008480698
3,3,19.42410005722195,19.03429999947548
3,3,19.341400009579957,18.530000001192093
3,3,21.585899987258017,21.36780007276684
